uid,entertainment,education,dining,park,shopping,metro_station,library,financial
7195,21,45,333,9,193,0,11,25
7194,59,81,37,5,95,0,2,30
7392,3,9,23,2,30,0,1,8
7083,4,7,25,2,43,0,0,9
7441,7,21,55,2,62,0,3,5
7086,3,8,21,4,26,0,3,2
7388,8,8,61,6,44,0,0,2
7089,37,59,373,22,384,4,9,67
7389,54,76,400,34,345,5,17,90
7088,59,84,37,5,105,0,2,33
7383,54,43,259,21,145,3,3,90
7247,3,11,51,2,74,0,2,4
7246,73,120,244,24,332,1,16,58
7244,17,7,58,3,62,0,1,4
7242,21,4,30,4,23,0,0,2
7240,21,15,140,6,116,1,3,13
7360,16,12,169,6,130,1,3,11
7361,4,11,48,6,35,1,2,3
7362,4,10,42,6,31,1,2,3
7364,1,5,24,3,18,0,0,5
7365,4,7,23,6,43,0,1,4
7249,14,10,173,4,152,0,2,9
7248,44,49,478,15,323,3,10,56
7432,54,55,252,21,331,3,4,67
7023,24,38,379,8,227,0,12,27
7020,65,51,583,20,334,3,6,77
7027,68,84,629,28,380,7,14,121
7026,76,146,308,26,363,1,21,67
7028,55,83,404,28,388,5,9,91
7097,12,15,85,9,75,0,2,7
7095,8,8,62,5,51,0,1,5
7092,4,7,77,3,77,1,1,10
7093,10,11,85,3,86,1,1,10
7090,58,84,44,3,113,1,1,32
7158,22,16,204,11,181,0,1,18
7155,20,40,252,7,131,0,8,17
7154,18,30,157,7,94,1,4,11
7153,20,16,170,5,109,1,3,10
7152,14,9,120,7,104,1,3,10
7151,18,18,112,7,92,1,2,7
7296,8,5,60,6,72,1,1,6
7297,15,9,109,5,119,1,2,7
7298,23,25,346,19,295,0,3,40
7299,22,17,93,15,102,0,2,12
7209,13,10,177,5,149,0,1,8
7208,18,17,241,8,125,1,4,14
7207,11,14,226,6,184,0,2,13
7206,17,21,336,10,247,0,2,19
7205,16,12,119,3,131,1,2,5
7204,18,13,197,3,145,1,1,12
7337,5,14,73,12,67,0,1,12
7336,6,7,78,7,66,0,2,6
7334,95,71,522,36,415,6,7,139
7331,55,72,7,3,78,0,1,24
7339,10,13,99,5,94,1,1,14
7338,12,17,116,6,100,1,2,13
7112,22,10,108,5,110,0,1,7
7111,21,14,164,8,157,0,0,10
7110,36,37,166,18,163,0,3,22
7115,19,29,167,13,158,0,7,31
7114,11,23,91,11,91,1,3,14
7119,8,16,68,10,58,0,4,7
7118,93,83,497,30,393,8,8,134
7059,69,43,438,26,283,4,4,108
7053,88,64,527,34,434,6,8,137
7056,7,21,80,14,92,0,3,11
7054,59,27,356,20,232,4,2,78
7055,46,63,342,24,369,4,9,58
7319,3,3,36,7,29,0,1,1
7318,2,7,27,4,39,0,1,3
7272,76,135,297,26,364,1,18,69
7273,74,132,266,24,339,1,18,65
7270,62,87,440,30,404,5,11,107
7271,41,75,388,25,404,4,17,67
7275,88,93,511,29,424,8,12,140
7371,9,21,109,4,116,2,2,26
7377,2,34,59,3,53,2,1,14
7376,2,20,63,2,61,2,2,11
7375,76,70,362,33,357,6,7,123
7374,52,43,226,22,301,2,2,54
7098,10,13,57,14,49,0,2,10
7014,27,41,258,23,239,3,5,40
7015,94,83,504,31,404,8,9,136
7012,75,94,532,32,440,5,16,134
7010,72,45,467,31,299,2,9,89
7139,55,89,65,8,129,1,1,22
7168,45,34,219,19,123,3,2,79
7169,87,70,415,35,340,6,8,125
7085,5,7,21,3,36,0,0,7
7031,22,40,237,20,232,1,10,45
7163,48,80,388,29,420,4,15,72
7160,25,20,252,18,226,0,2,29
7161,45,71,467,23,274,4,19,72
7164,62,88,449,31,408,5,12,109
7283,85,68,397,35,327,6,8,124
7281,73,130,256,24,338,1,18,63
7280,22,41,229,21,257,1,10,43
7287,8,13,79,12,77,0,2,11
7286,6,14,57,15,46,0,2,9
7289,0,0,8,5,8,0,0,1
7288,1,1,19,4,12,0,1,4
7131,70,131,216,14,285,0,18,40
7236,10,18,74,18,61,0,2,12
7234,4,11,47,4,73,0,2,4
7232,6,9,55,5,71,0,4,3
7233,13,6,90,3,93,0,1,3
7230,4,8,45,8,65,0,3,2
7238,6,12,69,4,107,0,4,6
7239,20,23,180,6,115,1,4,13
7057,93,68,494,38,401,6,7,137
7278,5,11,82,12,75,0,2,10
7508,34,40,158,14,189,0,3,30
7497,6,15,68,2,105,0,3,7
7496,4,7,34,9,40,0,3,1
7493,17,19,80,14,102,0,4,11
7494,67,120,211,19,318,0,10,47
7489,17,22,102,13,116,0,3,14
7485,8,3,49,5,58,1,3,10
7486,3,7,24,1,44,0,0,9
7483,1,8,35,2,49,0,1,7
7480,4,8,36,3,51,0,3,10
7479,4,7,31,2,44,0,3,10
7477,3,6,44,3,57,0,1,5
7474,62,40,428,29,263,5,4,97
7471,2,1,25,4,15,0,1,4
7468,83,60,460,34,308,5,3,121
7467,73,52,392,26,232,4,1,101
7466,2,9,29,4,45,0,3,10
7465,2,10,17,5,17,1,1,5
7458,70,80,388,29,380,5,9,118
7462,84,89,468,28,393,8,10,132
7461,3,4,11,9,17,0,1,1
7457,27,82,322,22,287,1,20,48
7454,1,6,5,3,3,0,0,1
7452,20,29,171,15,146,1,7,35
7451,22,19,164,9,154,0,0,16
7450,11,11,91,4,87,1,1,10
7449,54,71,5,4,80,0,0,23
7448,2,6,15,1,34,0,1,6
7445,6,7,46,6,28,0,1,3
7447,2,6,26,1,43,0,0,8
7446,7,5,44,7,32,0,1,1
7444,8,19,44,2,53,0,2,2
7440,20,6,41,6,28,0,0,3
7437,13,8,106,7,101,1,2,10
7438,3,9,25,3,36,0,3,7
7434,2,7,36,1,49,0,1,5
7435,2,12,41,6,35,1,3,6
7433,8,16,79,17,65,0,2,13
7431,6,10,77,7,66,0,3,9
7430,8,5,42,4,58,0,2,1
7427,7,3,22,8,25,0,1,2
7425,1,0,3,7,4,0,0,1
7424,2,29,64,3,54,2,1,12
7422,17,9,108,3,109,0,1,6
7418,53,76,362,34,344,5,16,80
7419,69,130,181,11,254,0,16,38
7420,16,37,146,7,91,0,6,11
7414,9,19,49,3,71,0,2,5
7415,8,18,53,3,74,0,3,4
7410,10,15,88,13,78,0,2,17
7411,12,7,63,20,23,0,1,10
7409,26,46,233,22,264,1,12,47
7408,87,101,633,25,498,9,14,153
7407,91,93,616,31,478,8,12,151
7403,7,23,106,4,100,2,1,24
7400,17,2,15,6,27,0,0,0
7395,2,6,16,1,32,0,1,6
7399,45,38,186,18,177,2,2,54
7488,0,2,1,4,4,0,0,0
7261,38,24,123,16,103,0,2,18
7463,63,35,503,23,321,3,5,67
7231,8,11,73,4,110,0,4,4
7478,2,0,2,9,2,0,0,0
7084,3,4,14,9,21,0,3,1
7302,5,8,53,3,59,0,2,5
7087,58,81,31,4,104,0,1,31
7024,25,55,263,23,280,1,13,53
7503,2,7,28,1,47,0,0,9
7203,20,9,90,23,33,0,1,13
7043,49,23,239,20,104,4,1,56
7018,67,42,386,26,228,4,1,90
7412,22,17,191,11,175,0,0,18
7391,76,93,485,31,419,5,11,131
7459,2,15,49,3,45,0,3,6
7030,37,81,370,27,341,3,22,60
7501,9,21,55,3,79,0,2,9
7264,19,31,209,16,211,0,9,35
7469,93,75,483,33,403,7,8,133
7061,72,119,174,8,177,0,13,30
7138,8,11,53,6,61,1,2,5
7417,89,82,466,30,372,8,9,132
7373,54,59,286,23,354,4,4,79
7455,2,4,6,4,19,0,0,4
7428,5,5,24,7,41,0,1,4
7324,71,50,484,34,310,3,9,100
7475,56,80,342,31,383,6,9,106
7476,2,10,36,4,45,0,2,4
7009,56,74,330,30,368,5,8,101
7029,73,131,254,23,332,1,16,60
7335,73,131,258,23,330,1,16,61
7442,2,8,15,4,20,1,1,3
7363,4,9,34,5,25,1,1,3
7443,52,78,364,30,402,3,9,88
7072,21,12,126,20,44,0,1,14
7245,17,23,376,14,300,0,2,37
7052,95,79,463,33,380,8,8,133
7484,9,20,85,6,91,1,2,22
7074,60,78,354,31,364,5,9,110
7021,83,97,532,29,434,9,14,143
7008,38,86,451,26,353,4,21,60
7006,54,78,382,34,363,5,20,81
7062,58,82,479,34,378,5,22,94
7502,54,87,455,33,382,5,22,86
7274,56,95,475,29,442,5,21,78
7235,54,76,383,35,350,5,20,83
7516,2,1,16,4,11,0,1,4
7514,1,1,12,4,10,0,0,4
7518,2,2,11,9,13,0,2,1
7517,0,0,4,7,4,0,2,1
7520,8,13,85,3,124,0,4,4
7524,18,10,156,4,146,0,1,7
7526,7,5,39,4,64,0,2,5
7528,54,85,42,8,94,1,1,20
7530,13,25,118,12,129,0,7,26
7534,16,21,262,11,227,0,2,17
7538,2,8,33,5,31,1,1,6
7536,20,26,415,11,286,0,4,34
7531,71,119,184,11,250,0,12,32
7537,22,26,247,7,133,1,4,18
7545,50,81,557,27,355,4,19,108
7547,47,82,487,32,322,4,21,89
