uid,name,longitude,latitude,free_bikes,empty_slots
7454,Pottery Rd / Lower Don River Trail,-79.362101,43.688148,1,14
7452,Bleecker St / St James Ave,-79.374495,43.669232,4,19
7451,Western Battery Rd / Pirandello St,-79.414156,43.640075,5,26
7450,Carlaw Ave / Danforth Ave,-79.347346,43.678285,8,7
7449,Cosburn Ave / Cedarvale Ave,-79.31469,43.697139,6,9
7448,Goodwood Park Ct / Dentonia Park,-79.295208,43.694826,4,15
7445,Eastwood Rd / Coxwell Ave,-79.318651,43.673118,13,6
7447,Trent Ave / Danforth Ave,-79.295895,43.689293,8,15
7446,Orchard Park,-79.3149,43.66908,12,6
7444,Clendenan Ave / Rowland St - SMART,-79.47149,43.66073,3,17
7440,Martin Goodman Trail / Remembrance Dr,-79.41414,43.63121,7,20
7437,Concord Ave / Bloor St W,-79.42679,43.66189,13,2
7438,High Park Subway,-79.4675,43.65389,9,10
7434,Via Italia / Mackay Ave,-79.445029,43.676697,8,7
7435,Rushton Rd / St Clair Ave W,-79.4277,43.68114,5,5
7433,Dundas St E / Boulton Ave - SMART,-79.347938,43.663148,8,8
7431,Gerrard St E / Leslie St,-79.3335,43.669813,23,0
7430,Marilyn Bell Park Tennis Court,-79.437461,43.633537,5,21
7427,Northern Dancer Blvd / Lake Shore Blvd E,-79.309765,43.663162,12,15
7425,The Queensway at South Kingsway,-79.47307,43.63632,15,7
7424,Merton St / Mount Pleasant Rd,-79.38786,43.697819,4,19
7422,Tyndall Ave / King St W - SMART,-79.429142,43.638426,6,9
7418,College Park - Yonge St Entrance,-79.38279,43.65988,3,21
7419,Bloor St W / Huron St,-79.401805,43.667023,10,16
7420,Barton St / Howland St - SMART,-79.410585,43.66842,7,12
7414,Keele St / Annette St,-79.46418,43.66402,5,10
7415,Keele St / Vine Ave,-79.46526,43.66686,19,4
7410,Howard St / Rose Ave,-79.372127,43.671278,1,18
7411,Little Norway Park,-79.399505,43.635023,15,6
7409,Isabella St / Church St,-79.38235,43.66834,15,4
7408,University Ave / Armoury St,-79.38766,43.65263,13,9
7407,University Ave / Queen St W,-79.38655,43.65158,22,0
7403,Lascelles Blvd / Eglinton Ave W,-79.40355,43.70547,9,10
7400,Polson Pier,-79.354006,43.641675,20,3
7395,Dentonia Park,-79.291416,43.694341,1,22
7399,Lower Jarvis / Queens Quay E,-79.36927,43.64422,18,0
7488,Summerhill Ave / Maclennan Ave,-79.376304,43.685924,3,8
7261,Queens Quay E / Lower Sherbourne St,-79.364898,43.645215,19,6
7463,Adelaide St W / Brant St,-79.3973381,43.6462574,11,5
7231,Wright Ave / Sorauren Ave - SMART,-79.442741,43.646677,3,13
7478,Ellis Ave / The Queensway,-79.46693,43.63855,3,16
7084,High Park - Grenadier Cafe,-79.4657123,43.645599,6,5
7302,Winona Dr / Davenport Rd,-79.430465,43.674923,4,7
7087,Danforth Ave / Aldridge Ave,-79.316767,43.684758,6,5
