uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
7760,2,14,12,3,0,0,4,12,2,10
7759,2,50,12,0,2,2,5,11,1,10
7506,30,50,50,20,1,0,6,50,15,43
7739,0,10,10,5,0,0,1,2,0,2
7761,39,50,50,22,7,2,11,50,23,50
7241,24,50,50,33,9,3,16,50,22,50
7398,31,50,50,26,7,3,7,50,37,50
7718,50,50,50,22,6,0,8,50,20,50
7762,38,50,42,18,8,2,32,50,21,50
7521,20,46,37,14,2,2,1,20,3,15
7757,47,50,50,29,6,1,8,50,28,50
7311,15,47,40,23,1,3,9,47,13,32
1405,36,50,50,25,9,5,36,50,28,50
7694,0,14,7,2,0,0,3,4,0,4
